listing_id,listing_name,host_id,host_name,neighbourhood_group,lat_lon,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
30031,NYC artists’ loft with roof deck,129352,Sol,"Greenpoint, Brooklyn",40.73494;-73.9503,Private room,"$50,00.-",3,193,20/5/19,1.86,1,0
30927,Unique & Charming small 1br Apt. LES,120335,Cs,"Lower East Side, Manhattan",40.71341;-73.98856,Entire home/apt,"$105,00.-",3,32,14/6/19,0.29,1,16
31130,Most Central Location!,117287,Lara,"Hell's Kitchen, Manhattan",40.76754;-73.98399,Private room,"$130,00.-",2,50,26/5/19,0.45,3,234
31555,Luminous Beautiful West Village Studio,135619,Tom,"West Village, Manhattan",40.73442;-74.00303,Entire home/apt,"$115,00.-",29,26,1/7/19,0.25,1,12
31902,Sanctuary in East Flatbush,137292,Sunder,"Flatlands, Brooklyn",40.63188;-73.93248,Private room,"$77,00.-",2,2,1/1/19,0.02,1,178
31994,Room with En Suite Bathroom & Deck,137814,Waldemar,"Clinton Hill, Brooklyn",40.6873;-73.9634,Private room,"$76,00.-",2,426,24/6/19,3.89,3,275
32023,FLAT MACDONOUGH,137974,Khem,"Bedford-Stuyvesant, Brooklyn",40.68296;-73.93662,Entire home/apt,"$125,00.-",3,227,23/6/19,2.09,2,163
32037,Huge Private  Floor at The Waverly,116599,Sahr,"Clinton Hill, Brooklyn",40.6863;-73.96765,Private room,"$135,00.-",4,84,1/7/19,0.77,3,365
32100,"Modern Greenpoint, Brooklyn Apt",138579,Ali+Scott,"Greenpoint, Brooklyn",40.73409;-73.95348,Entire home/apt,"$250,00.-",29,3,30/7/17,0.03,1,34
32289,"Sun-drenched, artsy modernist 1 BDRM duplex",139612,Elisabeth,"Williamsburg, Brooklyn",40.71561;-73.94835,Entire home/apt,"$199,00.-",3,10,11/6/18,0.1,1,280
32331,"Sunny, Cobble Hill Apartment",139874,Sarah,"Cobble Hill, Brooklyn",40.6857;-73.99183,Entire home/apt,"$140,00.-",2,4,24/4/16,0.04,1,0
32363,Fully Furnished Basement Apartment,140025,Fredah,"Flushing, Queens",40.74028;-73.83168,Private room,"$140,00.-",2,1,19/9/11,0.01,1,1
32965,FLAT MACDONOUGH GARDEN,137974,Khem,"Bedford-Stuyvesant, Brooklyn",40.68281;-73.93524,Entire home/apt,"$115,00.-",3,124,20/6/19,1.72,2,170
32969,Light filled Williamsburg Apartment,142833,Katherine,"Williamsburg, Brooklyn",40.71596;-73.93938,Entire home/apt,"$160,00.-",3,11,2/7/19,0.11,1,188
33009,Retreat in Williamsburg,143027,Ming,"Williamsburg, Brooklyn",40.71492;-73.95935,Entire home/apt,"$195,00.-",4,240,17/6/19,2.19,1,214
33014,NYC Zen,143048,Paula,"East Village, Manhattan",40.72354;-73.98295,Entire home/apt,"$195,00.-",3,30,17/6/19,0.28,1,248
33223,Cozy BR in Wiliamsburg 3 Bedroom,72014,Lulú,"Williamsburg, Brooklyn",40.71165;-73.96087,Private room,"$80,00.-",3,200,22/6/19,1.86,4,262
34760,Sunny Room in Old Historical Brooklyn Townhouse,149929,Obed,"Fort Greene, Brooklyn",40.69101;-73.97312,Private room,"$44,00.-",8,27,29/6/19,1.05,5,280
35526,Sun Filled Classic West Village Apt,120291,Karen,"West Village, Manhattan",40.73474;-74.00101,Private room,"$156,00.-",4,79,22/6/19,0.74,1,307
36121,Lg Rm in Historic Prospect Heights,62165,Michael,"Prospect Heights, Brooklyn",40.67386;-73.96641,Private room,"$85,00.-",15,9,10/5/13,0.09,1,339
36133,Classic Artist Loft Williamsburg,142684,White,"Williamsburg, Brooklyn",40.71536;-73.96057,Private room,"$125,00.-",3,155,13/6/19,1.61,1,1
36442,Great location. Spacious on PROSPECT PARK,137432,Paz,"Prospect Heights, Brooklyn",40.6741;-73.96595,Entire home/apt,"$115,00.-",15,4,27/8/18,0.05,1,269
36647,Private Bdrm/Bathrm. New! Elevator!,157798,Irene,"East Harlem, Manhattan",40.79295;-73.93997,Private room,"$69,00.-",2,34,29/5/17,0.32,1,10
36703,"Sunny, clean 1 bdrm in W. Village",158284,Karene,"West Village, Manhattan",40.73226;-74.00401,Entire home/apt,"$225,00.-",45,134,31/3/19,1.24,1,312
36934,Great location in Williamsburg,159370,Viviana,"Williamsburg, Brooklyn",40.71363;-73.96398,Entire home/apt,"$125,00.-",6,27,27/12/18,0.25,1,189
38638,Light and Airy Upper East Side 1 BDR apartment,92788,Sara,"Upper East Side, Manhattan",40.77711;-73.9527,Entire home/apt,"$219,00.-",4,126,26/6/19,1.16,2,290
38663,Luxury Brownstone in Boerum Hill,165789,Sarah,"Boerum Hill, Brooklyn",40.68559;-73.98094,Entire home/apt,"$475,00.-",3,23,31/12/18,0.27,1,230
